2025-06-01T20:26:32.621156,PUT,111104.9338,222195.91989000002,45.26486060752259,111132.85783240848,111063.06205759154,-1,LOSS
2025-06-01T20:33:26.499111,PUT,111241.9303,222474.26776999998,46.50580582508251,111282.17047156466,111192.09729843531,0.9000000000000057,WIN
2025-06-01T20:38:00.626078,PUT,111259.9611,222562.35460000002,47.70898613597048,111334.19836428133,111228.15623571869,1.8499999999999943,WIN
2025-06-01T20:41:04.560501,PUT,110893.1106,221830.11414000002,47.58968282233576,110972.52830654875,110857.58583345127,0.8499999999999943,LOSS
2025-06-01T20:45:52.540059,PUT,110888.0877,221881.46856,42.98000980334098,110997.31677925214,110884.15178074787,2.75,WIN
2025-06-01T20:48:52.655868,PUT,110751.309,221503.50186000002,47.73650136883217,110812.00608301171,110691.4957769883,1.75,LOSS
2025-06-01T20:51:55.297351,PUT,110775.1443,221611.35082999998,35.61361814018633,110853.22702975593,110758.12380024405,-0.25,LOSS
2025-06-01T21:04:36.563863,PUT,110102.6592,220235.74142,45.75093384348922,110155.78931128349,110079.95210871652,3.5600000000000023,WIN
2025-06-01T21:06:15.076152,PUT,110006.7253,220044.61000000002,45.32578294551628,110057.7983947121,109986.81160528792,2.5600000000000023,LOSS
2025-06-01T21:12:12.496134,PUT,110082.109,220161.64383000002,46.34731191370339,110129.51101667635,110032.13281332367,0.5600000000000023,LOSS
2025-06-01T21:16:46.813767,PUT,110419.856,220863.77680000002,46.50386808272377,110481.45632669299,110382.32047330703,-1.0,LOSS
2025-06-01T21:23:02.742771,PUT,110175.2919,220353.21052000002,46.44893253438151,110238.47347024464,110114.73704975538,-3.0,LOSS
2025-06-01T21:26:34.475218,PUT,110124.3761,220263.22303999998,43.89659584710849,110168.32201919299,110094.901020807,-7.0,LOSS
2025-06-01T21:39:52.958918,PUT,111026.8532,222069.84292000002,47.76255785879169,111075.28747497531,110994.55544502471,0.6200000000000045,WIN
2025-06-01T21:41:03.602216,PUT,111007.3466,222060.99675,44.230129365418115,111068.79276032599,110992.203989674,1.5699999999999932,WIN
2025-06-01T21:42:58.258190,PUT,110985.2367,221980.75432,47.023457801655965,111049.39871831029,110931.35560168972,0.5699999999999932,LOSS
2025-06-01T21:46:22.650629,PUT,110592.3552,221218.1844,46.42744855221199,110641.4553119309,110576.7290880691,2.469999999999999,WIN
2025-06-01T21:54:44.547436,PUT,110829.5357,221711.92689,43.7919350690651,110890.62965594111,110821.29723405889,3.4200000000000017,WIN
2025-06-01T21:56:15.704329,PUT,110873.0637,221762.98778,46.667861067838274,110941.16600617793,110821.82177382207,2.4200000000000017,LOSS
2025-06-01T22:00:04.897877,PUT,111159.0783,222275.52007,47.87125960332575,111209.3695338909,111066.1505361091,4.319999999999993,WIN
2025-06-01T22:02:15.345595,PUT,110933.0453,221933.71006,45.38129554515568,111015.32849573747,110918.38156426254,3.319999999999993,LOSS
2025-06-01T22:05:35.224059,PUT,111085.0585,222226.35293,47.51562038190541,111184.72711699069,111041.6258130093,1.3199999999999932,LOSS
2025-06-01T22:12:54.477878,PUT,111115.4579,222249.0565,40.97144390794007,111157.76549859627,111091.29100140373,5.1299999999999955,WIN
2025-06-01T22:14:41.875939,PUT,111020.0757,222043.57023999997,47.647639177606806,111069.19777043792,110974.37246956205,4.1299999999999955,LOSS
